Scientific_Name	Group	Plot	Sample_Name	Tube_No	Type_of_Sample	Total_Weight	Cup_No	pXRF_measurement_ID	ICP	Material	Cl_concentration	Cl_uncertainty	Ca_concentration	Ca_uncertainty	Ti_concentration	Ti_uncertainty	Cr_concentration	Cr_uncertainty	Mn_concentration	Mn_uncertainty	Fe_concentration	Fe_uncertainty	Co_concentration	Co_uncertainty	Ni_concentration	Ni_uncertainty	Cu_concentration	Cu_uncertainty	Zn_concentration	Zn_uncertainty	As_concentration	As_uncertainty	Se_concentration	Se_uncertainty	Cd_concentration	Cd_uncertainty	Re_concentration	Re_uncertainty	Hg_concentration	Hg_uncertainty	Tl_concentration	Tl_uncertainty	Pb_concentration	Pb_uncertainty	Substrate_RT
Gutierrezia sarothrae 	G17	P5	P5_E1_2	185;186	leaf	1.281	109	2240	n	Plant	2615	416	17854	393	25.4	12.8	ND<2.8	2.8	80.3	10.9	208	12.9	ND<1.4	1.4	ND<0.9	0.9	29.1	3.2	10.3	1.9	2.6	0.2	1.2	0.5	ND<2.4	2.4	ND<1.3	1.3	ND<0.4	0.4	ND<0.3	0.3	ND<0.7	0.7	0.085884363
Mentzelia multiflora	G16	P6	P6_97_2_1	192	leaf	0.971	111	2242	n	Plant	891	282	36044	575	42.4	15.9	3.6	3.6	78.8	11.7	260	15.5	ND<1.4	1.4	ND<1.0	1	44.8	4	29.2	2.8	1.8	0.7	4.9	0.8	ND<4.9	4.9	ND<1.4	1.4	ND<0.6	0.6	ND<0.3	0.3	ND<1.3	1.3	0.068312071
Mentzelia multiflora	G16	P1	P1_6	194	leaf	0.39	113	2244	n	Plant	2202	390	20128	413	ND<8.0	8	4.1	4	50.6	9.5	95.7	9.7	ND<1.2	1.2	ND<1.0	1	ND<2.4	2.4	ND<1.7	1.7	3.8	1.1	6.9	1.2	ND<6.6	6.6	ND<1.6	1.6	ND<0.4	0.4	ND<0.7	0.7	ND<1.0	1	0.030565953
Mentzelia multiflora	G16	P1	P1_3_1	195	leaf	0.656	114	2245	n	Plant	1852	361	20874	417	ND<7.7	7.7	ND<2.5	2.5	208	16.2	95.2	9.2	ND<1.1	1.1	ND<0.9	0.9	ND<1.9	1.9	21.8	2.8	2.2	0.8	4.6	0.8	ND<5.3	5.3	3.5	2.1	ND<0.7	0.7	ND<0.6	0.6	ND<1.3	1.3	0.051774509
Mentzelia multiflora	G16	P6	P6_97_2_3	188;189	leaf	1.009	115	2246	n	Plant	837	270	37615	568	122	23.2	4.6	4.6	88.3	12.8	153	12.2	ND<1.4	1.4	ND<1.2	1.2	42.6	4.4	4.8	2.2	3.9	0.3	3.6	0.8	ND<2.4	2.4	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.062705256
Pectis papposa	G15	P1	P1_27	202	leaf-stem	0.197	125	2262	n	Plant	4338	532	17656	401	44.6	14.9	5.6	4.6	ND<3.8	3.8	269	16.4	ND<1.6	1.6	ND<1.2	1.2	15.2	3.8	30	4	3.8	1.2	ND<0.5	0.5	ND<7.0	7	ND<1.6	1.6	ND<0.4	0.4	ND<0.5	0.5	ND<1.7	1.7	0.026538404
Euphorbia melanadenia	G21	P5	P5_E3_1	221	leaf-stem	0.701	130	2267	n	Plant	1233	289	9957	276	55.9	14.5	2.8	2.8	28.3	6.3	392	15.8	ND<1.1	1.1	ND<0.8	0.8	46.9	3.4	22.2	2.1	1.1	0.5	0.3	0.3	ND<2.4	2.4	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.077687174
Euphorbia melanadenia	G21	P1	P1_19_1	223	leaf-stem	0.712	132	2269	n	Plant	859	250	11716	300	49.3	14.4	3.8	3.5	29.7	6.5	226	12.2	ND<1.1	1.1	ND<0.7	0.7	12.6	2.1	24.8	2.3	2.1	0.6	0.6	0.4	ND<2.5	2.5	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.075090699
Euphorbia melanadenia	G21	P1	P1_36	224	leaf-stem	0.73	133	2270	n	Plant	405	189	11582	302	48.7	14.5	ND<2.5	2.5	18.6	5.6	329	14.9	ND<1.3	1.3	ND<0.7	0.7	9.6	2	34.1	2.7	1.5	0.6	ND<0.2	0.2	ND<4.3	4.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.066802532
Euphorbia melanadenia	G21	P1	P1_19_2	226	leaf-stem	0.717	135	2272	n	Plant	485	198	9108	268	28.4	11.7	2.4	2.4	17.6	5.1	123	9	ND<0.9	0.9	ND<0.7	0.7	9.8	1.8	37.5	2.7	1	0.5	ND<0.3	0.3	ND<4.1	4.1	ND<1.0	1	ND<0.3	0.3	ND<0.4	0.4	ND<1.0	1	0.077542923
Euphorbia melanadenia	G21	P5	P5_E3_2	227;228	leaf-stem	1.254	136	2273	n	Plant	809	244	10649	289	63.1	15.7	3	3	47	8	423	16.7	ND<1.3	1.3	ND<0.8	0.8	57.7	3.8	11.1	1.7	1.5	0.5	0.6	0.4	ND<2.3	2.3	ND<1.0	1	ND<0.4	0.4	ND<0.3	0.3	ND<1.0	1	0.092775688
Berberis haematocarpa	G20	P5	P5_71_1	246;247	leaf	0.861	140	2277	n	Plant	ND<81.1	81.1	14935	333	ND<7.8	7.8	3.6	3.6	ND<2.6	2.6	29.6	5	ND<0.9	0.9	ND<0.8	0.8	ND<1.1	1.1	ND<1.1	1.1	2.2	0.7	1.3	0.5	ND<4.5	4.5	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.067451447
Ceanothus greggii	G28	P1	P1_39_1	210;211	leaf	1.533	148	2289	n	Plant	ND<90.7	90.7	20211	390	ND<8.5	8.5	ND<2.3	2.3	14.3	5.3	101	8.5	ND<1.0	1	ND<0.8	0.8	9.5	1.8	25.3	2.3	1.1	0.5	2.7	0.6	ND<3.9	3.9	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.089524455
Ceanothus greggii	G28	P5	P5_70_2	215;216	leaf	2.058	151	2292	n	Plant	ND<96.7	96.7	20571	389	ND<8.0	8	ND<2.2	2.2	81.2	10.2	110	9	ND<1.1	1.1	ND<1.3	1.3	21.2	2.4	14.7	1.8	0.5	0.5	0.5	0.4	ND<3.7	3.7	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.108241051
Ceanothus greggii	G28	P5	P5_70_1	218;219	leaf	1.53	152	2293	n	Plant	ND<88.3	88.3	16530	354	ND<8.3	8.3	ND<2.3	2.3	49.9	8.3	107	8.8	ND<1.1	1.1	ND<1.4	1.4	14.1	2.2	10.9	1.7	0.8	0.5	0.5	0.4	ND<2.4	2.4	ND<1.2	1.2	ND<0.3	0.3	ND<0.5	0.5	ND<1.1	1.1	0.087717146
Mimosa biuncifera	G14	P1	P1_10	251	leaf	0.38	155	2299	n	Plant	1064	273	15902	348	16.8	10	5.5	3.8	62.8	9.3	73.7	7.9	ND<1.0	1	ND<0.9	0.9	20.7	3.1	12.4	2.5	1	0.7	1	0.6	ND<6.3	6.3	8.1	2.7	ND<0.6	0.6	ND<0.5	0.5	ND<1.4	1.4	0.037584987
Mimosa biuncifera	G14	P1	P1_41	252	leaf	0.699	156	2300	n	Plant	939	259	19757	384	21.6	10.9	ND<2.3	2.3	26.3	6.3	129	9.6	ND<1.0	1	ND<0.8	0.8	29.6	3	17	2.1	0.9	0.5	1	0.5	ND<4.8	4.8	1.6	1.6	0.7	0.7	ND<0.5	0.5	ND<1.2	1.2	0.060333308
Mimosa biuncifera	G14	P1	P1_7	253	leaf	1.143	157	2301	n	Plant	1216	290	20701	391	34.9	12.6	3.8	3.5	51.5	8.4	225	12.6	ND<1.2	1.2	ND<0.8	0.8	57.8	3.9	10.7	1.8	1.5	0.6	3.1	0.6	ND<2.4	2.4	6	2	ND<0.4	0.4	ND<0.5	0.5	ND<1.1	1.1	0.076698072
Mimosa biuncifera	G14	P2	P2_E15_1	255	leaf	0.837	159	2303	n	Plant	1276	292	15577	336	ND<7.3	7.3	ND<2.2	2.2	52.4	8	87.6	7.8	ND<0.9	0.9	ND<1.1	1.1	65.9	4	14.3	1.9	0.7	0.5	1.7	0.5	ND<4.1	4.1	5.5	2	ND<0.4	0.4	ND<0.3	0.3	ND<1.1	1.1	0.079033501
Mimosa biuncifera	G14	P5	P5_64	256	leaf	0.228	160	2304	n	Plant	1008	263	14586	324	ND<6.9	6.9	6.9	4.1	65	9.1	71.5	7.3	ND<0.9	0.9	ND<0.9	0.9	24.1	3.1	ND<1.1	1.1	2.2	0.7	1.5	0.6	ND<2.3	2.3	ND<1.3	1.3	ND<0.6	0.6	ND<0.5	0.5	ND<1.2	1.2	0.056133807
Mimosa biuncifera	G14	P5	P5_64_2	258	leaf	1.068	162	2306	n	Plant	ND<105	105	16258	340	24.1	10.7	ND<2.0	2	18.7	5.4	60.6	6.5	ND<0.9	0.9	ND<0.7	0.7	40	3.2	7.1	1.5	0.7	0.5	1.4	0.5	ND<4.4	4.4	2	1.7	ND<0.5	0.5	ND<0.3	0.3	ND<1.1	1.1	0.071113005
Baccharis sarothroides	G10	P1	P1_5_1	261;262	leaf-stem	1.179	164	2311	n	Plant	2300	383	12348	310	ND<7.1	7.1	3.2	3.2	ND<2.5	2.5	24.5	4.5	ND<0.9	0.9	ND<0.8	0.8	10.8	2.1	2.8	1.4	1.5	0.6	0.7	0.4	ND<2.4	2.4	ND<1.1	1.1	ND<0.3	0.3	ND<0.5	0.5	ND<1.1	1.1	0.080434769
Baccharis sarothroides	G10	P1	P1_5_2	263;264	leaf-stem	1.338	165	2312	n	Plant	2286	378	7278	240	ND<6.6	6.6	ND<2.2	2.2	27.7	6.2	29	4.6	ND<0.9	0.9	ND<0.8	0.8	16.1	2.1	18.3	2	0.9	0.5	0.7	0.4	ND<4.1	4.1	2.3	1.6	ND<0.3	0.3	ND<0.4	0.4	ND<1.1	1.1	0.08037433
Baccharis sarothroides	G10	P2	P2_E14_2	269;270	leaf-stem	1.48	168	2315	n	Plant	3747	479	10594	295	ND<6.5	6.5	ND<2.2	2.2	79.3	9.9	36.7	5.5	ND<0.9	0.9	ND<1.3	1.3	23.4	2.6	21.8	2.3	0.9	0.5	3.3	0.6	ND<2.3	2.3	9.6	2.1	ND<0.5	0.5	ND<0.5	0.5	ND<1.1	1.1	0.083753616
Xanthisma gracile	G36	P1	P1_17_1	289	leaf-stem	0.736	174	2321	n	Plant	2338	392	14210	345	44.9	14.1	3.9	3.6	23.5	6.3	202	12.1	ND<1.2	1.2	ND<0.8	0.8	56.5	3.9	35	2.7	1.4	0.6	1.2	0.5	ND<2.3	2.3	ND<1.1	1.1	ND<0.5	0.5	ND<0.3	0.3	ND<1.1	1.1	0.075547069
Xanthisma gracile	G36	P2	P2_YF2	291	leaf-stem	0.654	176	2323	n	Plant	1545	324	14295	341	34.2	12.7	4.6	3.6	26.7	6.3	165	10.8	ND<1.1	1.1	ND<0.7	0.7	23.3	2.6	82.3	4	1.7	0.6	1.4	0.5	ND<2.8	2.8	1.4	1.4	ND<0.5	0.5	ND<0.4	0.4	ND<1.1	1.1	0.075518996
Xanthisma gracile	G36	P2	P2_YF3	292	leaf-stem	0.727	177	2324	n	Plant	1316	299	12626	316	39.6	13.1	ND<2.3	2.3	76.6	9.5	155	10.4	ND<1.0	1	ND<1.2	1.2	67.9	4.1	59.7	3.3	1.6	0.6	0.4	0.4	ND<4.3	4.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.4	0.4	ND<1.0	1	0.073130116
Xanthisma gracile	G36	P5	P5_59_1	296	leaf-stem	0.775	179	2326	n	Plant	1516	318	11623	307	ND<7.5	7.5	ND<2.2	2.2	13.8	4.7	57.6	6.4	ND<0.9	0.9	ND<1.0	1	10.5	1.8	48.7	3.1	1.1	0.5	0.7	0.4	ND<4.7	4.7	1.3	1.3	ND<0.5	0.5	ND<0.3	0.3	ND<1.1	1.1	0.066785745
Xanthisma gracile	G36	P6	P6_77	301	leaf-stem	0.549	181	2328	n	Plant	1399	306	13058	317	59	15	3.5	3.5	29.5	6.6	201	11.7	ND<1.2	1.2	ND<0.8	0.8	133	5.7	31.8	2.6	1.3	0.5	1.3	0.5	ND<4.3	4.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.073685974
Juniperus arizonica	G29	P2	P2_E13_1	275;276	leaf	1.398	187	2335	n	Plant	815	241	12425	307	17.9	10.4	2.8	2.8	9.4	4.6	47.8	5.9	ND<0.9	0.9	ND<0.8	0.8	5.8	1.5	15.6	1.9	0.9	0.5	0.4	0.4	ND<4.3	4.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.08806479
Juniperus arizonica	G29	P5	P5_E2_1	279;280	leaf	1.639	189	2337	n	Plant	644	217	11077	286	20.8	10.7	2.4	2.4	43.5	7.5	74.9	7.2	ND<1.0	1	ND<1.2	1.2	12.6	2	7.4	1.4	1	0.5	0.7	0.4	ND<2.2	2.2	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.9	0.9	0.105011918
Juniperus arizonica	G29	P5	P5_E2_2	277;278	leaf	1.582	190	2338	n	Plant	771	235	14923	329	ND<7.3	7.3	3.5	3.3	72.6	9.4	47	6	ND<1.0	1	ND<1.3	1.3	8.2	1.6	11.3	1.6	0.6	0.4	0.6	0.4	ND<2.2	2.2	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.9	0.9	0.113450587
Cynodon dactylon	G9	P6	P6_86_1	338;339	leaf-stem	0.514	193	2376	n	Plant	3204	458	3173	164	31.4	11.4	11.2	4.9	59.7	9.6	109	9.3	ND<1.2	1.2	ND<1.0	1	33.1	4.2	ND<0.9	0.9	4.9	0.3	ND<2.5	2.5	ND<3.5	3.5	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.04224902
Cynodon dactylon	G9	P6	P6_86_2	337	leaf-stem	0.406	194	2377	n	Plant	782	236	5655	209	24.4	10.1	4.8	3.5	21.4	6.1	114	9.8	ND<1.1	1.1	ND<1.0	1	24.8	3.6	6.3	2.2	2.2	0.9	4.1	1	ND<7.7	7.7	ND<1.5	1.5	ND<0.4	0.4	ND<0.4	0.4	ND<1.6	1.6	0.029305777
Amaranthus palmeri	G12	P1	P1_23_1	319;320	stem	0.634	213	2401	n	Plant	599	241	20914	468	33.5	14.7	9.3	6	ND<3.9	3.9	18.1	5.5	ND<1.3	1.3	ND<1.1	1.1	ND<2.0	2	ND<1.1	1.1	5.3	0.3	0.6	0.5	ND<4.3	4.3	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.064391889
Amaranthus palmeri	G12	P1	P1_23_2	321	stem	0.157	214	2402	n	Plant	3911	530	41176	620	58.3	18.2	19.9	8.1	ND<3.4	3.4	147	13.8	ND<1.8	1.8	ND<1.5	1.5	ND<3.0	3	ND<1.4	1.4	10.6	0.5	ND<0.3	0.3	ND<3.2	3.2	ND<1.5	1.5	ND<0.4	0.4	ND<0.5	0.5	ND<0.9	0.9	0.042209126
Amaranthus palmeri	G12	P2	P2_palmer2	315;316	stem	0.807	216	2404	n	Plant	3014	465	21771	497	80.2	20.7	8.7	5.9	ND<4.5	4.5	205	14.7	ND<1.6	1.6	ND<1.2	1.2	64.6	5.4	21.8	3.1	5.1	0.3	ND<0.4	0.4	ND<4.4	4.4	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.07377138
Amaranthus palmeri	G12	P2	P2_palmer3	314	stem	0.441	217	2405	n	Plant	5129	580	13742	367	51.1	16	7.4	5.2	ND<3.2	3.2	131	11.1	ND<1.3	1.3	ND<1.1	1.1	58.1	4.8	8.6	2.4	4	0.3	0.7	0.5	ND<2.6	2.6	ND<1.2	1.2	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.066112652
Amaranthus palmeri	G12	P6	P6_78_1	324	stem	0.202	220	2409	n	Plant	2485	414	8537	298	136	23.3	10.1	5.9	ND<3.2	3.2	142	11.8	ND<1.4	1.4	ND<1.2	1.2	145	7.5	ND<1.1	1.1	6.4	0.4	ND<0.5	0.5	ND<5.8	5.8	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.046162501
Amaranthus palmeri	G12	P6	P6_78_2	325	stem	0.445	221	2410	n	Plant	1251	296	5040	216	86.1	17.9	6.3	4.3	10.5	5.6	192	11.8	ND<1.2	1.2	ND<0.9	0.9	132	5.9	4.9	1.7	2.1	0.7	0.5	0.4	ND<4.4	4.4	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.064600065
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2104	NA	Plant	6963	353	51465	364	84.8	11.5	3	2.3	250	9.6	362	9.1	ND<1.2	1.2	1.6	0.9	4.9	0.7	29.5	1.3	0.3	0.3	ND<0.3	0.3	ND<2.2	2.2	ND<0.8	0.8	0.4	0.4	ND<0.2	0.2	ND<0.8	0.8	0.06837599
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2107	NA	Plant	7196	717	52509	736	88.8	23.6	ND<2.1	2.1	247	20.9	349	19.7	ND<1.8	1.8	ND<1.5	1.5	5	1.4	31.4	3	ND<0.5	0.5	ND<0.4	0.4	8	8	ND<1.6	1.6	ND<0.5	0.5	ND<0.5	0.5	ND<1.7	1.7	0.066453092
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2119	NA	Plant	5046	625	43650	651	68.8	19.5	ND<1.6	1.6	208	18.3	296	17.4	ND<1.6	1.6	ND<1.4	1.4	3.4	1.2	26.4	2.7	ND<0.5	0.5	0.7	0.7	ND<2.9	2.9	ND<1.6	1.6	ND<0.4	0.4	ND<0.7	0.7	ND<1.7	1.7	0.063835546
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2120	NA	Plant	5963	620	13601	357	ND<8.5	8.5	2.6	2.6	63.5	9.2	217	13	ND<1.2	1.2	ND<1.2	1.2	9.8	1.8	74.8	4	ND<0.2	0.2	ND<2.2	2.2	ND<2.8	2.8	ND<1.3	1.3	ND<0.4	0.4	ND<0.5	0.5	ND<1.2	1.2	0.06206388
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2149	NA	Plant	ND<66.3	66.3	36.1	14.5	ND<5.7	5.7	ND<2.3	2.3	ND<3.8	3.8	ND<7.9	7.9	ND<3.3	3.3	ND<3.0	3	ND<2.7	2.7	ND<2.5	2.5	ND<0.9	0.9	ND<1.4	1.4	ND<27.9	27.9	ND<5.0	5	ND<2.1	2.1	ND<1.2	1.2	ND<5.2	5.2	0.003971464
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2150	NA	Plant	ND<66.6	66.6	46.8	17.6	ND<5.7	5.7	ND<1.2	1.2	ND<4.1	4.1	ND<7.0	7	ND<2.9	2.9	ND<2.8	2.8	ND<3.6	3.6	ND<1.6	1.6	ND<1.0	1	ND<1.4	1.4	ND<15.0	15	6.3	6.3	ND<1.3	1.3	ND<1.1	1.1	ND<5.1	5.1	0.003981723
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2151	NA	Plant	5328	639	44695	661	68.7	19.7	ND<2.9	2.9	197	18	284	17.1	ND<1.6	1.6	ND<1.5	1.5	4.8	1.4	26.8	2.7	ND<0.5	0.5	0.6	0.6	ND<2.5	2.5	ND<1.6	1.6	ND<0.6	0.6	ND<0.7	0.7	ND<1.7	1.7	0.060707182
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2152	NA	Plant	5157	592	13564	355	ND<8.2	8.2	ND<2.3	2.3	65.4	9.2	226	13.2	ND<1.2	1.2	3.6	1.7	11.5	1.9	74.7	4	ND<0.4	0.4	ND<2.1	2.1	9.9	9.9	ND<1.2	1.2	ND<0.5	0.5	ND<0.5	0.5	ND<0.5	0.5	0.061892156
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2162	NA	Plant	5779	645	48320	690	88.6	22.4	ND<3.1	3.1	229	19.6	329	18.7	ND<1.6	1.6	ND<1.6	1.6	4.4	1.4	29.2	2.9	ND<0.5	0.5	ND<0.6	0.6	ND<5.1	5.1	2.1	2.1	ND<0.7	0.7	ND<0.5	0.5	ND<1.7	1.7	0.062268496
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2163	NA	Plant	6646	690	49329	703	85.3	22.4	3.5	3.5	236	20.1	326	18.8	ND<1.7	1.7	ND<1.5	1.5	4.4	1.3	31.4	3	ND<0.5	0.5	ND<0.6	0.6	ND<4.8	4.8	ND<1.8	1.8	1.1	1	ND<0.5	0.5	ND<0.6	0.6	0.062114973
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2165	NA	Plant	6290	637	14630	373	30.8	13.4	2.8	2.8	69	9.6	244	13.9	ND<1.2	1.2	ND<1.2	1.2	12.4	2	77.7	4.1	ND<0.3	0.3	ND<0.3	0.3	ND<4.9	4.9	ND<1.3	1.3	ND<0.5	0.5	ND<0.4	0.4	ND<1.2	1.2	0.058949698
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2166	NA	Plant	ND<62.8	62.8	25.8	11.1	ND<6.8	6.8	ND<1.7	1.7	ND<4.5	4.5	ND<8.1	8.1	ND<2.7	2.7	ND<2.4	2.4	ND<2.9	2.9	ND<2.7	2.7	ND<1.1	1.1	ND<1.5	1.5	ND<32.7	32.7	ND<4.2	4.2	ND<1.2	1.2	ND<1.2	1.2	ND<5.4	5.4	0.003911804
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2181	NA	Plant	ND<72.2	72.2	ND<21.6	21.6	ND<5.5	5.5	ND<1.4	1.4	ND<4.8	4.8	ND<7.3	7.3	ND<3.4	3.4	ND<2.9	2.9	ND<3.2	3.2	ND<3.0	3	ND<1.0	1	ND<0.8	0.8	49.9	49.9	ND<4.5	4.5	ND<2.0	2	ND<2.0	2	ND<5.4	5.4	0.004015218
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2182	NA	Plant	5091	635	43289	648	81.4	20.9	3	3	200	18.1	289	17.2	ND<1.6	1.6	ND<1.5	1.5	3.9	1.3	26.4	2.7	ND<0.3	0.3	0.6	0.6	ND<4.5	4.5	ND<1.6	1.6	ND<0.6	0.6	ND<0.7	0.7	ND<1.7	1.7	0.067574263
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2183	NA	Plant	5323	602	13346	352	22.8	11.7	ND<2.2	2.2	65.3	9.3	212	12.8	ND<1.1	1.1	ND<1.2	1.2	11.8	1.9	73.5	3.9	ND<0.3	0.3	0.5	0.4	ND<4.4	4.4	1.8	1.6	ND<0.4	0.4	ND<0.3	0.3	ND<1.2	1.2	0.062208377
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2204	NA	Plant	ND<76.4	76.4	ND<53.7	53.7	ND<7.1	7.1	ND<2.7	2.7	ND<4.5	4.5	ND<7.6	7.6	ND<4.0	4	ND<2.5	2.5	ND<3.3	3.3	ND<2.0	2	ND<1.0	1	ND<1.3	1.3	ND<32.3	32.3	10.2	7.5	ND<1.5	1.5	ND<1.2	1.2	ND<5.6	5.6	0.003938291
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2205	NA	Plant	ND<72.9	72.9	ND<19.0	19	ND<5.2	5.2	ND<2.5	2.5	ND<4.0	4	ND<7.8	7.8	ND<2.7	2.7	ND<2.9	2.9	ND<3.4	3.4	ND<2.5	2.5	ND<1.1	1.1	ND<1.4	1.4	ND<34.1	34.1	ND<4.4	4.4	ND<1.3	1.3	ND<2.1	2.1	ND<5.5	5.5	0.003932825
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2206	NA	Plant	5893	654	48498	690	75.4	21	ND<3.1	3.1	221	19.4	317	18.4	ND<1.6	1.6	ND<1.4	1.4	5.5	1.5	30.6	2.9	ND<0.5	0.5	ND<0.6	0.6	ND<4.9	4.9	ND<1.6	1.6	ND<0.4	0.4	ND<0.7	0.7	ND<1.7	1.7	0.063401304
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2207	NA	Plant	6558	649	14850	376	21.3	12.3	ND<2.5	2.5	66.2	9.6	245	14	ND<1.3	1.3	ND<1.2	1.2	12.1	1.9	78.7	4.1	ND<0.3	0.3	0.4	0.4	10.4	10.4	2.2	1.8	ND<0.4	0.4	ND<0.5	0.5	ND<1.2	1.2	0.060893968
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2211	NA	Plant	ND<67.7	67.7	ND<21.7	21.7	ND<7.5	7.5	ND<1.5	1.5	ND<4.0	4	ND<6.9	6.9	ND<2.9	2.9	ND<3.4	3.4	ND<2.9	2.9	ND<2.5	2.5	ND<1.1	1.1	ND<1.4	1.4	ND<31.9	31.9	ND<5.2	5.2	ND<2.1	2.1	ND<1.3	1.3	ND<5.7	5.7	0.003998611
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2212	NA	Plant	5108	627	44974	662	73.3	20.3	4.1	4.1	206	18.4	294	17.4	ND<1.6	1.6	ND<1.5	1.5	4.9	1.4	28.3	2.8	ND<0.3	0.3	ND<0.4	0.4	ND<4.8	4.8	ND<1.7	1.7	ND<0.7	0.7	ND<0.7	0.7	ND<1.6	1.6	0.063560925
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2213	NA	Plant	5991	623	13747	359	24.5	12.2	ND<2.3	2.3	60.2	9.1	238	13.6	ND<1.2	1.2	ND<1.2	1.2	9.6	1.8	75.9	4	ND<0.3	0.3	ND<0.3	0.3	ND<4.6	4.6	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.063266851
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2229	NA	Plant	ND<70.6	70.6	ND<17.6	17.6	ND<6.4	6.4	ND<2.7	2.7	ND<4.0	4	ND<6.9	6.9	ND<2.5	2.5	ND<2.6	2.6	ND<3.0	3	ND<2.6	2.6	ND<0.9	0.9	ND<1.3	1.3	63.7	63.7	ND<4.4	4.4	ND<1.8	1.8	ND<1.7	1.7	ND<5.4	5.4	0.004037719
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2230	NA	Plant	5721	659	44167	658	78.4	20.8	3.1	3.1	217	18.9	285	17.2	ND<1.6	1.6	ND<1.4	1.4	5.1	1.4	29.6	2.8	ND<0.3	0.3	ND<0.4	0.4	ND<4.7	4.7	ND<1.6	1.6	ND<0.4	0.4	ND<0.7	0.7	ND<1.7	1.7	0.064905562
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2231	NA	Plant	6418	643	14934	377	32.3	13.8	ND<2.5	2.5	69	9.8	243	14	ND<1.3	1.3	ND<1.3	1.3	11.3	1.9	80.1	4.2	ND<0.4	0.4	ND<0.3	0.3	ND<5.0	5	ND<1.2	1.2	ND<0.3	0.3	ND<0.5	0.5	ND<0.5	0.5	0.061308567
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2250	NA	Plant	ND<72.6	72.6	ND<17.4	17.4	ND<6.1	6.1	ND<1.6	1.6	ND<4.9	4.9	ND<8.0	8	ND<3.1	3.1	ND<3.2	3.2	ND<3.2	3.2	ND<2.4	2.4	ND<1.1	1.1	ND<1.5	1.5	ND<36.2	36.2	ND<4.8	4.8	ND<1.3	1.3	ND<2.0	2	ND<5.8	5.8	0.003942713
